item_id,topic_id,spanish,russian,item_type,gender,number,tags,example_es,example_ru,accepted_answers_es,accepted_answers_ru,explanation,status
v0073,general_library,exagerar,преувеличивать,word,,,lola_lago_5,,,exagerar,преувеличивать,Импортировано из блока «Lola Lago 5»,active
v0074,general_library,seguir,продолжать,word,,,lola_lago_5,,,seguir,продолжать,Импортировано из блока «Lola Lago 5»,active
v0075,general_library,poca,мало,word,,,lola_lago_5,,,poca,мало,Импортировано из блока «Lola Lago 5»,active
v0076,general_library,agua,вода,word,,,lola_lago_5,,,agua,вода,Импортировано из блока «Lola Lago 5»,active
v0077,general_library,hacia,к,word,,,lola_lago_5,,,hacia,к,Импортировано из блока «Lola Lago 5»,active
v0078,general_library,tirar,потянуть,word,,,lola_lago_5,,,tirar,потянуть,Импортировано из блока «Lola Lago 5»,active
v0079,general_library,ahogar,заглушить,word,,,lola_lago_5,,,ahogar,заглушить,Импортировано из блока «Lola Lago 5»,active
v0080,general_library,tragar,глотать,word,,,lola_lago_5,,,tragar,глотать,Импортировано из блока «Lola Lago 5»,active
v0081,general_library,sacar,вытащить,word,,,lola_lago_5,,,sacar,вытащить,Импортировано из блока «Lola Lago 5»,active
v0082,general_library,brazo,рука,word,,,lola_lago_5,,,brazo,рука,Импортировано из блока «Lola Lago 5»,active
v0083,general_library,tos,кашель,word,,,lola_lago_5,,,tos,кашель,Импортировано из блока «Lola Lago 5»,active
v0084,general_library,arena,песок,word,,,lola_lago_5,,,arena,песок,Импортировано из блока «Lola Lago 5»,active
v0085,general_library,fuerte,сильный,word,,,lola_lago_5,,,fuerte,сильный,Импортировано из блока «Lola Lago 5»,active
v0086,general_library,marear,закружить,word,,,lola_lago_5,,,marear,закружить,Импортировано из блока «Lola Lago 5»,active
v0087,general_library,bolsillo,карман,word,,,lola_lago_5,,,bolsillo,карман,Импортировано из блока «Lola Lago 5»,active
v0088,general_library,cena,ужин,word,,,lola_lago_4,,,cena,ужин,Импортировано из блока «Lola lago 4»,active
v0089,general_library,cama,кровать,word,,,lola_lago_4,,,cama,кровать,Импортировано из блока «Lola lago 4»,active
v0090,general_library,novio,возлюбленный,word,,,lola_lago_4,,,novio,возлюбленный,Импортировано из блока «Lola lago 4»,active
v0091,general_library,casualidad,случайность,word,,,lola_lago_4,,,casualidad,случайность,Импортировано из блока «Lola lago 4»,active
v0092,general_library,direccion,адрес,word,,,lola_lago_4,,,direccion,адрес,Импортировано из блока «Lola lago 4»,active
v0093,general_library,mandar,приказать,word,,,lola_lago_4,,,mandar,приказать,Импортировано из блока «Lola lago 4»,active
v0094,general_library,contrato,контракт,word,,,lola_lago_4,,,contrato,контракт,Импортировано из блока «Lola lago 4»,active
v0095,general_library,sentir,чувствовать,word,,,lola_lago_4,,,sentir,чувствовать,Импортировано из блока «Lola lago 4»,active
v0096,general_library,fruta,фрукты,word,,,lola_lago_4,,,fruta,фрукты,Импортировано из блока «Lola lago 4»,active
v0097,general_library,verdura,овощи,word,,,lola_lago_4,,,verdura,овощи,Импортировано из блока «Lola lago 4»,active
v0098,general_library,pescado,рыба,word,,,lola_lago_4,,,pescado,рыба,Импортировано из блока «Lola lago 4»,active
v0099,general_library,barba,борода,word,,,lola_lago_4,,,barba,борода,Импортировано из блока «Lola lago 4»,active
v0100,general_library,cara,лицо,word,,,lola_lago_4,,,cara,лицо,Импортировано из блока «Lola lago 4»,active
v0101,general_library,cortar,резать,word,,,lola_lago_4,,,cortar,резать,Импортировано из блока «Lola lago 4»,active
v0102,general_library,engordar,жиреть,word,,,lola_lago_4,,,engordar,жиреть,Импортировано из блока «Lola lago 4»,active
v0103,general_library,contestar,ответить,word,,,lola_lago_4,,,contestar,ответить,Импортировано из блока «Lola lago 4»,active
v0104,general_library,mediodía,полдень,word,,,lola_lago_4,,,mediodía,полдень,Импортировано из блока «Lola lago 4»,active
v0105,general_library,gente,человек,word,,,lola_lago_4,,,gente,человек,Импортировано из блока «Lola lago 4»,active
v0106,general_library,invertir,инвестировать,word,,,lola_lago_4,,,invertir,инвестировать,Импортировано из блока «Lola lago 4»,active
v0107,general_library,acordar,соглашаться,word,,,lola_lago_4,,,acordar,соглашаться,Импортировано из блока «Lola lago 4»,active
v0108,general_library,empresa,компания,word,,,lola_lago_4,,,empresa,компания,Импортировано из блока «Lola lago 4»,active
v0109,general_library,copiar,скопировать,word,,,lola_lago_4,,,copiar,скопировать,Импортировано из блока «Lola lago 4»,active
v0110,general_library,receta,рецепт,word,,,lola_lago_4,,,receta,рецепт,Импортировано из блока «Lola lago 4»,active
v0111,general_library,bombon,конфета,word,,,lola_lago_4,,,bombon,конфета,Импортировано из блока «Lola lago 4»,active
v0112,general_library,encantar,очень нравиться,word,,,lola_lago_4,,,encantar,очень нравиться,Импортировано из блока «Lola lago 4»,active
v0113,general_library,bigote,усы,word,,,lola_lago_4,,,bigote,усы,Импортировано из блока «Lola lago 4»,active
v0114,general_library,dibujar,рисовать,word,,,lola_lago_4,,,dibujar,рисовать,Импортировано из блока «Lola lago 4»,active
v0115,general_library,puente,мост,word,,,lola_lago_4,,,puente,мост,Импортировано из блока «Lola lago 4»,active
v0116,general_library,té,чай,word,,,lola_lago_4,,,té,чай,Импортировано из блока «Lola lago 4»,active
v0117,general_library,linda,милая,word,,,lola_lago_4,,,linda,милая,Импортировано из блока «Lola lago 4»,active
v0118,general_library,preciosa,милая (2),word,,,lola_lago_4,,,preciosa,милая (2),Импортировано из блока «Lola lago 4»,active
v0119,general_library,noticias,новости,word,,,lola_lago_4,,,noticias,новости,Импортировано из блока «Lola lago 4»,active
v0120,general_library,limpiar,чистить,word,,,lola_lago_4,,,limpiar,чистить,Импортировано из блока «Lola lago 4»,active
v0121,general_library,tocar la,играть на инструменте,phrase,,,lola_lago_4,,,tocar la,играть на инструменте,Импортировано из блока «Lola lago 4»,active
v0122,general_library,a veces,иногда,phrase,,,lola_lago_4,,,a veces,иногда,Импортировано из блока «Lola lago 4»,active
v0123,general_library,pescar,рыбачить,word,,,lola_lago_4,,,pescar,рыбачить,Импортировано из блока «Lola lago 4»,active
v0124,general_library,muebles,мебель,word,,,lola_lago_4,,,muebles,мебель,Импортировано из блока «Lola lago 4»,active
v0125,general_library,quemar,сжигать,word,,,lola_lago_4,,,quemar,сжигать,Импортировано из блока «Lola lago 4»,active
v0126,general_library,de pronto,вдруг,phrase,,,lola_lago_4,,,de pronto,вдруг,Импортировано из блока «Lola lago 4»,active
v0127,general_library,hoguera,костер,word,,,lola_lago_4,,,hoguera,костер,Импортировано из блока «Lola lago 4»,active
v0128,general_library,ejecutivo,менеджер,word,,,lola_lago_3,,,ejecutivo,менеджер,Импортировано из блока «Lola Lago 3»,active
v0129,general_library,azafata,стюардесса,word,,,lola_lago_3,,,azafata,стюардесса,Импортировано из блока «Lola Lago 3»,active
v0130,general_library,controladores,диспетчер,word,,,lola_lago_3,,,controladores,диспетчер,Импортировано из блока «Lola Lago 3»,active
v0131,general_library,huelga,забастовка,word,,,lola_lago_3,,,huelga,забастовка,Импортировано из блока «Lola Lago 3»,active
v0132,general_library,esperar,ожидать,word,,,lola_lago_3,,,esperar,ожидать,Импортировано из блока «Lola Lago 3»,active
v0133,general_library,revista,журнал,word,,,lola_lago_3,,,revista,журнал,Импортировано из блока «Lola Lago 3»,active
v0134,general_library,pelo,волос,word,,,lola_lago_3,,,pelo,волос,Импортировано из блока «Lola Lago 3»,active
v0135,general_library,pasar,происходить,word,,,lola_lago_3,,,pasar,происходить,Импортировано из блока «Lola Lago 3»,active
v0136,general_library,aviso,уведомление,word,,,lola_lago_3,,,aviso,уведомление,Импортировано из блока «Lola Lago 3»,active
v0137,general_library,levantar,поднять,word,,,lola_lago_3,,,levantar,поднять,Импортировано из блока «Lola Lago 3»,active
v0138,general_library,quedado,пассивный,word,,,lola_lago_3,,,quedado,пассивный,Импортировано из блока «Lola Lago 3»,active
v0139,general_library,mejor,лучший,word,,,lola_lago_3,,,mejor,лучший,Импортировано из блока «Lola Lago 3»,active
v0140,general_library,amable,приветливый,word,,,lola_lago_3,,,amable,приветливый,Импортировано из блока «Lola Lago 3»,active
v0141,general_library,demasiado,слишком,word,,,lola_lago_3,,,demasiado,слишком,Импортировано из блока «Lola Lago 3»,active
v0142,general_library,mostrador,стойка,word,,,lola_lago_3,,,mostrador,стойка,Импортировано из блока «Lola Lago 3»,active
v0143,general_library,sorpresa,сюрприз,word,,,lola_lago_3,,,sorpresa,сюрприз,Импортировано из блока «Lola Lago 3»,active
v0144,general_library,desagradable,неприятный,word,,,lola_lago_3,,,desagradable,неприятный,Импортировано из блока «Lola Lago 3»,active
v0145,general_library,seguro,уверен,word,,,lola_lago_3,,,seguro,уверен,Импортировано из блока «Lola Lago 3»,active
v0146,general_library,sentar,сидеть,word,,,lola_lago_3,,,sentar,сидеть,Импортировано из блока «Lola Lago 3»,active
v0147,general_library,algunos,некоторые,word,,,lola_lago_3,,,algunos,некоторые,Импортировано из блока «Lola Lago 3»,active
v0148,general_library,luego,затем,word,,,lola_lago_3,,,luego,затем,Импортировано из блока «Lola Lago 3»,active
v0149,general_library,agradable,приятный,word,,,lola_lago_3,,,agradable,приятный,Импортировано из блока «Lola Lago 3»,active
v0150,general_library,viudo,вдова,word,,,lola_lago_3,,,viudo,вдова,Импортировано из блока «Lola Lago 3»,active
v0151,general_library,soltero,холостой,word,,,lola_lago_3,,,soltero,холостой,Импортировано из блока «Lola Lago 3»,active
v0152,general_library,paisaje,пейзаж,word,,,lola_lago_3,,,paisaje,пейзаж,Импортировано из блока «Lola Lago 3»,active
v0153,general_library,paseo,прогулка,word,,,lola_lago_3,,,paseo,прогулка,Импортировано из блока «Lola Lago 3»,active
v0154,general_library,lentamente,медленно,word,,,lola_lago_3,,,lentamente,медленно,Импортировано из блока «Lola Lago 3»,active
v0155,general_library,quizá,возможно,word,,,lola_lago_3,,,quizá,возможно,Импортировано из блока «Lola Lago 3»,active
v0156,general_library,tonteria,глупость,word,,,lola_lago_3,,,tonteria,глупость,Импортировано из блока «Lola Lago 3»,active
v0157,general_library,habitacion,номер,word,,,lola_lago_3,,,habitacion,номер,Импортировано из блока «Lola Lago 3»,active
v0158,general_library,bañar,купать,word,,,lola_lago_3,,,bañar,купать,Импортировано из блока «Lola Lago 3»,active
v0159,general_library,vestido,платье,word,,,lola_lago_3,,,vestido,платье,Импортировано из блока «Lola Lago 3»,active
v0160,general_library,espejo,зеркало,word,,,lola_lago_3,,,espejo,зеркало,Импортировано из блока «Lola Lago 3»,active
v0161,general_library,timidamente,робко,word,,,lola_lago_3,,,timidamente,робко,Импортировано из блока «Lola Lago 3»,active
v0162,general_library,residencial,жилой,word,,,lola_lago_3,,,residencial,жилой,Импортировано из блока «Lola Lago 3»,active
v0163,general_library,mercado,рынок,word,,,lola_lago_3,,,mercado,рынок,Импортировано из блока «Lola Lago 3»,active
v0164,general_library,molestia,неудобство,word,,,lola_lago_3,,,molestia,неудобство,Импортировано из блока «Lola Lago 3»,active
v0165,general_library,marisco,моллюск,word,,,lola_lago_3,,,marisco,моллюск,Импортировано из блока «Lola Lago 3»,active
v0166,general_library,gambas,креветки,word,,,lola_lago_3,,,gambas,креветки,Импортировано из блока «Lola Lago 3»,active
v0167,general_library,pollo,курица,word,,,lola_lago_3,,,pollo,курица,Импортировано из блока «Lola Lago 3»,active
v0168,general_library,callar,молчать,word,,,lola_lago_3,,,callar,молчать,Импортировано из блока «Lola Lago 3»,active
v0169,general_library,quedar,остаться,word,,,lola_lago_3,,,quedar,остаться,Импортировано из блока «Lola Lago 3»,active
v0170,general_library,serios,серьезный,word,,,lola_lago_3,,,serios,серьезный,Импортировано из блока «Lola Lago 3»,active
v0171,general_library,explica,объяснил,word,,,lola_lago_3,,,explica,объяснил,Импортировано из блока «Lola Lago 3»,active
v0172,general_library,jardín,сад,word,,,lola_lago_3,,,jardín,сад,Импортировано из блока «Lola Lago 3»,active
v0173,general_library,precio,цена,word,,,lola_lago_3,,,precio,цена,Импортировано из блока «Lola Lago 3»,active
v0174,general_library,negocio,сделка,word,,,lola_lago_3,,,negocio,сделка,Импортировано из блока «Lola Lago 3»,active
v0175,general_library,organizar,организовывать,word,,,lola_lago_3,,,organizar,организовывать,Импортировано из блока «Lola Lago 3»,active
v0176,general_library,gerente,управляющий,word,,,lola_lago_3,,,gerente,управляющий,Импортировано из блока «Lola Lago 3»,active
v0177,general_library,un tal,некто,phrase,,,lola_lago_3,,,un tal,некто,Импортировано из блока «Lola Lago 3»,active
v0178,general_library,mes,месяц,word,,,lola_lago_3,,,mes,месяц,Импортировано из блока «Lola Lago 3»,active
v0179,general_library,ahorrar,сберегать,word,,,lola_lago_3,,,ahorrar,сберегать,Импортировано из блока «Lola Lago 3»,active
v0180,general_library,tarjeta,карточка,word,,,lola_lago_3,,,tarjeta,карточка,Импортировано из блока «Lola Lago 3»,active
v0181,general_library,alquilar,арендовать,word,,,lola_lago_3,,,alquilar,арендовать,Импортировано из блока «Lola Lago 3»,active
v0182,general_library,beso,поцелуй,word,,,lola_lago_3,,,beso,поцелуй,Импортировано из блока «Lola Lago 3»,active
v0183,general_library,piedra,камень,word,,,lola_lago_3,,,piedra,камень,Импортировано из блока «Lola Lago 3»,active
v0184,general_library,robar,украсть,word,,,lola_lago_3,,,robar,украсть,Импортировано из блока «Lola Lago 3»,active
v0185,general_library,estafar,обмануть,word,,,lola_lago_3,,,estafar,обмануть,Импортировано из блока «Lola Lago 3»,active
v0186,general_library,pobre,бедный,word,,,lola_lago_3,,,pobre,бедный,Импортировано из блока «Lola Lago 3»,active
v0187,general_library,immobillarios,недвижимость,word,,,lola_lago_3,,,immobillarios,недвижимость,Импортировано из блока «Lola Lago 3»,active
v0188,general_library,feliz,счастливый,word,,,lola_lago_3,,,feliz,счастливый,Импортировано из блока «Lola Lago 3»,active
v0189,general_library,escuela,школа,word,,,lola_lago_3,,,escuela,школа,Импортировано из блока «Lola Lago 3»,active
v0190,general_library,entrar,вступить,word,,,lola_lago_2,,,entrar,вступить,Импортировано из блока «Lola Lago 2»,active
v0191,general_library,reírse,смеяться,word,,,lola_lago_2,,,reírse,смеяться,Импортировано из блока «Lola Lago 2»,active
v0192,general_library,al lado,рядом,phrase,,,lola_lago_2,,,al lado,рядом,Импортировано из блока «Lola Lago 2»,active
v0193,general_library,un poco,немного,phrase,,,lola_lago_2,,,un poco,немного,Импортировано из блока «Lola Lago 2»,active
v0194,general_library,despacho,кабинет,word,,,lola_lago_2,,,despacho,кабинет,Импортировано из блока «Lola Lago 2»,active
v0195,general_library,soportar,поддерживать,word,,,lola_lago_2,,,soportar,поддерживать,Импортировано из блока «Lola Lago 2»,active
v0196,general_library,simple,простой,word,,,lola_lago_2,,,simple,простой,Импортировано из блока «Lola Lago 2»,active
v0197,general_library,raro,редкий,word,,,lola_lago_2,,,raro,редкий,Импортировано из блока «Lola Lago 2»,active
v0198,general_library,impuestos,налоги,word,,,lola_lago_2,,,impuestos,налоги,Импортировано из блока «Lola Lago 2»,active
v0199,general_library,pagar,платить,word,,,lola_lago_2,,,pagar,платить,Импортировано из блока «Lola Lago 2»,active
v0200,general_library,tarde,поздно,word,,,lola_lago_2,,,tarde,поздно,Импортировано из блока «Lola Lago 2»,active
v0201,general_library,además,кроме,word,,,lola_lago_2,,,además,кроме,Импортировано из блока «Lola Lago 2»,active
v0202,general_library,siempre,всегда,word,,,lola_lago_2,,,siempre,всегда,Импортировано из блока «Lola Lago 2»,active
v0203,general_library,enamorar,влюбить,word,,,lola_lago_2,,,enamorar,влюбить,Импортировано из блока «Lola Lago 2»,active
v0204,general_library,calvo,лысенький,word,,,lola_lago_2,,,calvo,лысенький,Импортировано из блока «Lola Lago 2»,active
v0205,general_library,ahora,сейчас,word,,,lola_lago_2,,,ahora,сейчас,Импортировано из блока «Lola Lago 2»,active
v0206,general_library,serio,серьезный,word,,,lola_lago_2,,,serio,серьезный,Импортировано из блока «Lola Lago 2»,active
v0207,general_library,guapo,красавчик,word,,,lola_lago_2,,,guapo,красавчик,Импортировано из блока «Lola Lago 2»,active
v0208,general_library,época,эпоха,word,,,lola_lago_2,,,época,эпоха,Импортировано из блока «Lola Lago 2»,active
v0209,general_library,junto,вместе,word,,,lola_lago_2,,,junto,вместе,Импортировано из блока «Lola Lago 2»,active
v0210,general_library,amistad,дружба,word,,,lola_lago_2,,,amistad,дружба,Импортировано из блока «Lola Lago 2»,active
v0211,general_library,extranjero,иностранный,word,,,lola_lago_2,,,extranjero,иностранный,Импортировано из блока «Lola Lago 2»,active
v0212,general_library,casado,женатый,word,,,lola_lago_2,,,casado,женатый,Импортировано из блока «Lola Lago 2»,active
v0213,general_library,descansar,отдыхать,word,,,lola_lago_2,,,descansar,отдыхать,Импортировано из блока «Lola Lago 2»,active
v0214,general_library,vale,хорошо,word,,,lola_lago_2,,,vale,хорошо,Импортировано из блока «Lola Lago 2»,active
v0215,general_library,encontrar,находиться,word,,,lola_lago_2,,,encontrar,находиться,Импортировано из блока «Lola Lago 2»,active
v0216,general_library,vuelo,рейс,word,,,lola_lago_2,,,vuelo,рейс,Импортировано из блока «Lola Lago 2»,active
v0217,general_library,apetecer,хотеться,word,,,lola_lago_2,,,apetecer,хотеться,Импортировано из блока «Lola Lago 2»,active
v0218,general_library,mar,море,word,,,lola_lago_2,,,mar,море,Импортировано из блока «Lola Lago 2»,active
v0219,general_library,pensar,думать,word,,,lola_lago_2,,,pensar,думать,Импортировано из блока «Lola Lago 2»,active
v0220,general_library,canción,песня,word,,,lola_lago_2,,,canción,песня,Импортировано из блока «Lola Lago 2»,active
v0221,general_library,bolso,сумка,word,,,lola_lago_2,,,bolso,сумка,Импортировано из блока «Lola Lago 2»,active
v0222,general_library,recoger,собрать,word,,,lola_lago_2,,,recoger,собрать,Импортировано из блока «Lola Lago 2»,active
v0223,general_library,que viene,следующий,phrase,,,lola_lago_2,,,que viene,следующий,Импортировано из блока «Lola Lago 2»,active
v0224,general_library,golpe,удар,word,,,lola_lago_2,,,golpe,удар,Импортировано из блока «Lola Lago 2»,active
v0225,general_library,cerrar,закрыть,word,,,lola_lago_2,,,cerrar,закрыть,Импортировано из блока «Lola Lago 2»,active
v0226,general_library,puerta,дверь,word,,,lola_lago_2,,,puerta,дверь,Импортировано из блока «Lola Lago 2»,active
v0227,general_library,todavía,все еще,word,,,lola_lago_2,,,todavía,все еще,Импортировано из блока «Lola Lago 2»,active
v0228,general_library,socio,партнер,word,,,lola_lago_1,,,socio,партнер,Импортировано из блока «Lola Lago 1»,active
v0229,general_library,otro,другой,word,,,lola_lago_1,,,otro,другой,Импортировано из блока «Lola Lago 1»,active
v0230,general_library,marido,муж,word,,,lola_lago_1,,,marido,муж,Импортировано из блока «Lola Lago 1»,active
v0231,general_library,jubilarse,выйти на пенсию,word,,,lola_lago_1,,,jubilarse,выйти на пенсию,Импортировано из блока «Lola Lago 1»,active
